id,title,filtered_words,label
R129,New Report on Election,board medical relate one. still program week street space. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,require foreign defense candidate dream type. store call network system find million this. activity carry ago agree phone fine choose. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,list deep drive statement support. soon whose water never notice treat reflect senior. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,success citizen three information ever sit response. seek open. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,change perform image design. half society year red change start another while. see local participant glass. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,film capital media physical ready. sing cut on. senior hit season lawyer offer information class house. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,make may need also sort kind. phone position report maybe office. heavy exactly month southern. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,represent character main open responsibility. personal station school work manager physical. experts discuss ongoing developments education.,REAL
R064,New Report on Research,agency board wall yeah situation not. study structure scientist. wide term woman cost affect tax interesting. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,reach expert small visit truth director drop. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,start partner special fill ago. player else third pull. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,window bad south soldier. sister impact fact entire. eight agreement reach health government stage. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,perform person star american. participant best tough. type record feel significant officer process help. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,return without however direction east morning usually fly. charge window medical quickly ability. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,thank bring author mrs strategy floor. reduce door sea memory. action record imagine five. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,consumer business guy increase fly fly commercial. activity word mrs recent water board country. maintain blood speech ten voice. — shocking claims miracle drug surface internet.,FAKE
F202,Hoax Confirmed by Sources,world simple person weight. time mother style western consumer. — shocking claims hoax surface internet.,FAKE
F197,Secret Cure Confirmed by Sources,magazine away hit look apply. use choice dog probably outside wait certain. — shocking claims secret cure surface internet.,FAKE
R128,New Report on Climate Change,follow rate avoid pay determine effect. wind hour to. eat two film view the. experts discuss ongoing developments climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,theory vote suddenly picture thus wear. find instead treatment. sound charge executive. — shocking claims government cover-up surface internet.,FAKE
F117,Hoax Confirmed by Sources,movement officer yes. establish evidence born party among tax real people. — shocking claims hoax surface internet.,FAKE
F173,Secret Cure Confirmed by Sources,sea arm month religious perform another fine perform. contain officer office rate hold wall range. — shocking claims secret cure surface internet.,FAKE
F024,Aliens Confirmed by Sources,might simple scene realize. born shake report dark glass region. — shocking claims aliens surface internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,purpose realize relationship pretty sell. seek pull include let. — shocking claims celebrity scandal surface internet.,FAKE
R247,New Report on Public Health,mean form serve ready company security really. onto since bank daughter walk upon person. church page behind organization member manager. remain style why. experts discuss ongoing developments public health.,REAL
F226,Government Cover-Up Confirmed by Sources,two season effect yet total. include employee us hot analysis step project. — shocking claims government cover-up surface internet.,FAKE
F100,Flat Earth Confirmed by Sources,experience collection seven sometimes note. — shocking claims flat earth surface internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,source town modern across. task course risk maybe number mention. — shocking claims government cover-up surface internet.,FAKE
F183,Aliens Confirmed by Sources,event record effect make teach month. leg shake five skin base action single sea. fast political natural economy. — shocking claims aliens surface internet.,FAKE
R063,New Report on Policy,quickly call professor environment various able usually. experts discuss ongoing developments policy.,REAL
R005,New Report on Election,crime apply end itself. gun someone middle edge. experts discuss ongoing developments election.,REAL
R084,New Report on Election,national first law indeed social smile. hundred civil drop third enter. rule certainly necessary heart dinner. experts discuss ongoing developments election.,REAL
R124,New Report on Education,ever rich one issue door power. writer vote fall edge turn agreement. experts discuss ongoing developments education.,REAL
R118,New Report on Research,family respond nice plan agree difference buy. million commercial quite plan. experts discuss ongoing developments research.,REAL
F001,Aliens Confirmed by Sources,show eye condition form edge. huge late defense place between. guess speak spring figure sister food important ability. — shocking claims aliens surface internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,act town environment dinner contain learn response glass. occur guy. probably process trade lawyer game picture. wind family even. — shocking claims immortal jellyfish surface internet.,FAKE
F046,Mind Control Confirmed by Sources,leave might imagine example. enter parent exactly. half hot newspaper might authority film. — shocking claims mind control surface internet.,FAKE
R103,New Report on Research,good day cut chance. bag team traditional sit administration appear middle effort. experts discuss ongoing developments research.,REAL
R037,New Report on Budget Report,measure talk physical tonight pay. factor father arrive officer. experts discuss ongoing developments budget report.,REAL
F193,Secret Cure Confirmed by Sources,night include traditional seat involve fight hundred. professor several prepare detail. form understand system election dark speech. — shocking claims secret cure surface internet.,FAKE
R166,New Report on Election,oil even interesting senior clearly kind. data sign production identify indeed scientist look. experience medical option walk clear south. experts discuss ongoing developments election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,positive never get. word dog instead power sing son much forward. local statement seem road phone film. — shocking claims immortal jellyfish surface internet.,FAKE
R008,New Report on Economic Growth,hear life year attention mrs matter. keep think make. experts discuss ongoing developments economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,sign technology hot particularly treatment area. — shocking claims celebrity scandal surface internet.,FAKE
F028,Mind Control Confirmed by Sources,consider small sit. approach cover challenge yes hair several. decade listen perform body. mrs total. — shocking claims mind control surface internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,year second pick anything. build discuss hard report. civil point situation identify save everything nice. — shocking claims immortal jellyfish surface internet.,FAKE
R200,New Report on Public Health,simply movement table rule watch. push moment owner assume appear. experts discuss ongoing developments public health.,REAL
